"long","lat","aday","amon","id"
174.875,-36.375,78,3,4
174.875,-36.375,79,3,4
174.875,-36.375,80,3,4
174.875,-36.625,81,3,4
174.875,-36.625,82,3,4
174.625,-35.875,127,5,5
174.875,-36.375,128,5,5
174.875,-36.625,129,5,5
174.875,-36.625,130,5,5
174.625,-35.875,131,5,5
174.875,-36.625,132,5,5
174.875,-36.375,133,5,5
174.875,-36.625,134,5,5
174.875,-36.125,135,5,5
174.875,-36.375,136,5,5
174.875,-36.625,137,5,5
174.875,-36.625,138,5,5
174.875,-36.375,139,5,5
174.875,-36.375,140,5,5
174.625,-35.875,141,5,5
174.875,-36.375,142,5,5
174.875,-35.875,143,5,5
174.625,-35.875,144,5,5
174.875,-36.375,145,5,5
174.875,-35.625,146,5,5
174.875,-36.625,147,5,5
174.875,-36.625,148,5,5
174.875,-36.375,149,5,5
174.875,-36.625,150,6,5
174.875,-36.625,151,6,5
174.875,-36.125,152,6,5
174.875,-36.375,153,6,5
174.875,-36.125,154,6,5
174.875,-36.625,155,6,5
174.875,-36.375,156,6,5
174.875,-36.375,157,6,5
174.875,-36.375,158,6,5
174.875,-36.625,159,6,5
174.875,-36.625,160,6,5
174.875,-36.375,161,6,5
174.875,-36.375,162,6,5
174.875,-36.375,163,6,5
174.875,-35.625,164,6,5
174.875,-36.375,165,6,5
174.875,-36.625,166,6,5
174.875,-36.375,167,6,5
174.875,-36.375,168,6,5
174.875,-36.375,169,6,5
174.875,-36.625,170,6,5
174.875,-36.625,171,6,5
174.875,-36.375,172,6,5
174.875,-36.625,173,6,5
174.875,-36.625,174,6,5
174.875,-36.625,175,6,5
174.875,-36.375,176,6,5
174.875,-36.625,177,6,5
174.875,-36.625,178,6,5
174.875,-36.375,179,6,5
174.875,-36.625,180,7,5
174.875,-36.375,181,7,5
174.875,-35.875,125,5,6
174.625,-35.875,126,5,6
174.875,-36.375,127,5,6
174.875,-36.375,128,5,6
174.875,-36.375,129,5,6
174.875,-36.625,130,5,6
174.875,-36.375,131,5,6
174.875,-36.375,132,5,6
174.875,-36.625,133,5,6
174.875,-36.625,134,5,6
174.875,-36.625,135,5,6
174.875,-36.625,136,5,6
174.875,-36.375,137,5,6
174.875,-36.625,138,5,6
174.875,-36.375,139,5,6
174.875,-36.125,140,5,6
174.875,-36.625,141,5,6
174.875,-36.375,142,5,6
174.875,-36.375,143,5,6
174.875,-36.625,144,5,6
174.875,-36.625,145,5,6
174.875,-36.625,146,5,6
174.875,-36.625,147,5,6
174.875,-35.875,148,5,6
174.625,-35.625,149,5,6
174.625,-35.375,150,6,6
174.875,-35.875,151,6,6
174.875,-36.625,152,6,6
174.875,-36.625,153,6,6
174.875,-36.375,154,6,6
174.875,-36.625,155,6,6
174.875,-36.375,156,6,6
174.875,-36.625,157,6,6
174.875,-36.625,158,6,6
174.875,-36.625,159,6,6
174.875,-35.875,160,6,6
